id,name,symbol,rank,is_new,is_active,type
btc-bitcoin,Bitcoin,BTC,1,False,True,coin
eth-ethereum,Ethereum,ETH,2,False,True,coin
hex-hex,HEX,HEX,3,False,True,token
ada-cardano,Cardano,ADA,4,False,True,coin
bnb-binance-coin,Binance Coin,BNB,5,False,True,coin
usdt-tether,Tether,USDT,6,False,True,token
xrp-xrp,XRP,XRP,7,False,True,coin
sol-solana,Solana,SOL,8,False,True,token
doge-dogecoin,Dogecoin,DOGE,9,False,True,coin
dot-polkadot,Polkadot,DOT,10,False,True,coin
usdc-usd-coin,USD Coin,USDC,11,False,True,token
uni-uniswap,Uniswap,UNI,12,False,True,token
ltc-litecoin,Litecoin,LTC,13,False,True,coin
bch-bitcoin-cash,Bitcoin Cash,BCH,14,False,True,coin
luna-terra,Terra,LUNA,15,False,True,coin
link-chainlink,Chainlink,LINK,16,False,True,token
icp-internet-computer,Internet Computer,ICP,17,False,True,coin
avax-avalanche,Avalanche,AVAX,18,False,True,coin
matic-polygon,Polygon,MATIC,19,False,True,token
xlm-stellar,Stellar,XLM,20,False,True,coin
wbtc-wrapped-bitcoin,Wrapped Bitcoin,WBTC,21,False,True,token
busd-binance-usd,Binance USD,BUSD,22,False,True,token
vet-vechain,VeChain,VET,23,False,True,coin
theta-theta-token,THETA,THETA,24,False,True,coin
fil-filecoin,Filecoin,FIL,25,False,True,coin
etc-ethereum-classic,Ethereum Classic,ETC,26,False,True,coin
trx-tron,TRON,TRX,27,False,True,coin
ftt-ftx-token,FTX Token,FTT,28,False,True,token
atom-cosmos,Cosmos,ATOM,29,False,True,coin
okb-okb,OKB,OKB,30,False,True,token
dai-dai,Dai,DAI,31,False,True,token
eos-eos,EOS,EOS,32,False,True,coin
xmr-monero,Monero,XMR,33,False,True,coin
aave-new,Aave,AAVE,34,False,True,token
miota-iota,IOTA,MIOTA,35,False,True,coin
axs-axie-infinity,Axie Infinity,AXS,36,False,True,token
xtz-tezos,Tezos,XTZ,37,False,True,coin
cake-pancakeswap,PancakeSwap,CAKE,38,False,True,token
neo-neo,NEO,NEO,39,False,True,coin
algo-algorand,Algorand,ALGO,40,False,True,coin
qnt-quant,Quant,QNT,41,False,True,token
ht-huobi-token,Huobi Token,HT,42,False,True,token
klay-klaytn,Klaytn,KLAY,43,False,True,coin
btcb-binance-bitcoin,Binance Bitcoin,BTCB,44,False,True,token
ftm-fantom,Fantom,FTM,45,False,True,coin
bsv-bitcoin-sv,Bitcoin SV,BSV,46,False,True,coin
mkr-maker,Maker,MKR,47,False,True,token
shib-shiba-inu,Shiba Inu,SHIB,48,False,True,token
cro-cryptocom-chain,Crypto.com Coin,CRO,49,False,True,token
ksm-kusama,Kusama,KSM,50,False,True,coin
btt-bittorrent,BitTorrent,BTT,51,False,True,token
egld-elrond,Elrond,EGLD,52,False,True,coin
leo-leo-token,LEO Token,LEO,53,False,True,token
waves-waves,Waves,WAVES,54,False,True,coin
grt-the-graph,The Graph,GRT,55,False,True,token
hbar-hedera-hashgraph,Hedera Hashgraph,HBAR,56,False,True,coin
cel-celsius,Celsius,CEL,57,False,True,token
rune-thorchain,THORChain,RUNE,58,False,True,token
dash-dash,Dash,DASH,59,False,True,coin
rev-revain,Revain,REV,60,False,True,token
near-near-protocol,Near Protocol,NEAR,61,False,True,coin
ctc-creditcoin,Creditcoin,CTC,62,False,True,token
dcr-decred,Decred,DCR,63,False,True,coin
hot-holo,Holo,HOT,64,False,True,token
zec-zcash,Zcash,ZEC,65,False,True,coin
tfuel-theta-fuel,Theta Fuel,TFUEL,66,False,True,coin
xem-nem,NEM,XEM,67,False,True,coin
hnt-helium,Helium,HNT,68,False,True,coin
hbtc-huobi-btc,Huobi BTC,HBTC,69,False,True,token
chz-chiliz,Chiliz,CHZ,70,False,True,token
stx-stacks,Stacks,STX,71,False,True,coin
ar-arweave,Arweave,AR,72,False,True,token
ust-terrausd,TerraUSD,UST,73,False,True,token
enj-enjin-coin,Enjin Coin,ENJ,74,False,True,token
xdc-xdc,XDC,XDC,75,False,True,coin
kick-kickcoin,KickToken,KICK,76,False,True,token
thr-thorecoin,ThoreCoin,THR,77,False,True,token
comp-compoundd,Compound,COMP,78,False,True,token
mana-decentraland,Decentraland,MANA,79,False,True,token
snx-synthetix-network-token,Synthetix Network Token,SNX,80,False,True,token
lend-ethlend,Aave,LEND,81,False,True,token
yfi-yearnfinance,yearn.finance,YFI,82,False,True,token
qtum-qtum,Qtum,QTUM,83,False,True,coin
zil-zilliqa,Zilliqa,ZIL,84,False,True,coin
btg-bitcoin-gold,Bitcoin Gold,BTG,85,False,True,coin
tusd-trueusd,TrueUSD,TUSD,86,False,True,token
bat-basic-attention-token,Basic Attention Token,BAT,87,False,True,token
ttt-the-transfer-token,The Transfer Token,TTT,88,False,True,token
one-harmony,Harmony,ONE,89,False,True,coin
omg-omg-network,OMG Network,OMG,90,False,True,token
safemoon-safemoon,SafeMoon,SAFEMOON,91,False,True,token
rvn-ravencoin,Ravencoin,RVN,92,False,True,coin
celo-celo,Celo,CELO,93,False,True,coin
tel-telcoin,Telcoin,TEL,94,False,True,token
kcs-kucoin-token,KuCoin Token,KCS,95,False,True,token
zen-horizen,Horizen,ZEN,96,False,True,coin
sc-siacoin,Siacoin,SC,97,False,True,coin
ont-ontology,Ontology,ONT,98,False,True,coin
nexo-nexo,Nexo,NEXO,99,False,True,token
dgb-digibyte,DigiByte,DGB,100,False,True,coin
dfi-defi-chain,DeFi Chain,DFI,101,False,True,coin
zrx-0x,0x,ZRX,102,False,True,token
mdx-mdex,Mdex,MDX,103,False,True,token
bnt-bancor,Bancor,BNT,104,False,True,token
iost-iost,IOST,IOST,105,False,True,coin
nano-nano,Nano,NANO,106,False,True,coin
mina-mina-protocol,Mina Protocol,MINA,107,False,True,coin
crv-curve-dao-token,Curve DAO Token,CRV,108,False,True,token
uma-uma,UMA,UMA,109,False,True,token
ethos-ethos,Voyager Token,VGX,110,False,True,token
chsb-swissborg,SwissBorg,CHSB,111,False,True,token
icx-icon,ICON,ICX,112,False,True,coin
c98-coin98,Coin98,C98,113,False,True,token
youc-youcash,YOUcash,YOUC,114,False,True,token
ren-republic-protocol,Ren,REN,115,False,True,token
pax-paxos-standard-token,Paxos Standard,PAX,116,False,True,token
iotx-iotex,IoTeX,IOTX,117,False,True,token
omi-ecomi,Ecomi,OMI,118,False,True,token
husd-husd,HUSD,HUSD,119,False,True,token
lusd-liquity-usd,Liquity USD,LUSD,120,False,True,token
dent-dent,Dent,DENT,121,False,True,token
sand-the-sandbox,The Sandbox,SAND,122,False,True,token
ray-raydium,Raydium,RAY,123,False,True,token
rsr-reserve-rights,Reserve Rights,RSR,124,False,True,token
1inch-1inch,1INCH,1INCH,125,False,True,token
glm-golem,Golem,GLM,126,False,True,token
lrc-loopring,Loopring,LRC,127,False,True,token
amp-amp,Amp,AMP,128,False,True,token
ocean-ocean-protocol,Ocean Protocol,OCEAN,129,False,True,token
wax-wax,WAX,WAXP,130,False,True,coin
lsk-lisk,Lisk,LSK,131,False,True,coin
renbtc-renbtc,renBTC,renBTC,132,False,True,token
fetch-ai,Fetch.AI,FET,133,False,True,token
kava-kava,Kava,KAVA,134,False,True,coin
arrr-pirate,Pirate,ARRR,135,False,True,coin
win-winklink,WINkLink,WIN,136,False,True,token
ubt-unibright,Unibright,UBT,137,False,True,token
bcd-bitcoin-diamond,Bitcoin Diamond,BCD,138,False,True,coin
xvg-verge,Verge,XVG,139,False,True,coin
storj-storj,Storj,STORJ,140,False,True,token
ckb-nervos-network,Nervos Network,CKB,141,False,True,coin
gno-gnosis,Gnosis,GNO,142,False,True,token
poly-polymath,Polymath,POLY,143,False,True,token
lpt-livepeer,Livepeer,LPT,144,False,True,token
vtho-vethor-token,VeThor Token,VTHO,145,False,True,token
knc-kyber-network,Kyber Network,KNC,146,False,True,token
wrx-wazirx,WazirX,WRX,147,False,True,token
gt-gatechain-token,Gatechain Token,GT,148,False,True,coin
elf-aelf,aelf,ELF,149,False,True,token
srm-serum,Serum,SRM,150,False,True,token
inj-injective-protocol,Injective Protocol,INJ,151,False,True,token
ogn-origin-protocol,Origin Protocol,OGN,152,False,True,token
rlc-iexec-rlc,iExec RLC,RLC,153,False,True,token
snt-status,Status,SNT,154,False,True,token
xch-chia-,Chia,XCH,155,False,True,coin
cvc-civic,Civic,CVC,156,False,True,token
rose-oasis-network,Oasis Network,ROSE,157,False,True,token
ardr-ardor,Ardor,ARDR,158,False,True,coin
ewt-energy-web-token,Energy Web Token,EWT,159,False,True,coin
band-band-protocol,Band Protocol,BAND,160,False,True,token
prom-prometeus,Prometeus,PROM,161,False,True,token
usdn-neutrino-usd,Neutrino USD,USDN,162,False,True,token
dag-constellation,Constellation,DAG,163,False,True,coin
strax-stratis,Stratis,STRAX,164,False,True,coin
nkn-nkn,NKN,NKN,165,False,True,token
best-bitpanda-ecosystem-token,Bitpanda Ecosystem Token,BEST,166,False,True,token
titan-titanswap,TitanSwap,TITAN,167,False,True,token
sxp-swipe,Swipe,SXP,168,False,True,token
reef-reef,Reef,REEF,169,False,True,token
rep-augur,Augur,REP,170,False,True,token
hedg-hedgetrade,HedgeTrade,HEDG,171,False,True,token
zlw-zelwin,Zelwin,ZLW,172,False,True,token
hive-hive,HIVE,HIVE,173,False,True,coin
audio-audius,Audius,AUDIO,174,False,True,token
keep-keep-network,Keep network,KEEP,175,False,True,token
btmx-bitmax-token,BitMax Token,BTMX,176,False,True,token
orbs-orbs,Orbs,ORBS,177,False,True,token
celr-celer-network,Celer Network,CELR,178,False,True,token
mir-mirror-protocol,Mirror Protocol,MIR,179,False,True,token
tomo-tomochain,TomoChain,TOMO,180,False,True,coin
fun-funfair,FunFair,FUN,181,False,True,token
tlm-alien-worlds,Alien Worlds,TLM,182,False,True,token
cfx-conflux-network,Conflux Network,CFX,183,False,True,token
fx-function-x,Function X,FX,184,False,True,token
steem-steem,Steem,STEEM,185,False,True,coin
ankr-ankr-network,Ankr,ANKR,186,False,True,token
htr-hathor-network,Hathor Network,HTR,187,False,True,coin
etn-electroneum,Electroneum,ETN,188,False,True,coin
ant-aragon,Aragon,ANT,189,False,True,token
mtl-metal,Metal,MTL,190,False,True,token
maid-maidsafecoin,MaidSafeCoin,MAID,191,False,True,token
uos-ultra,Ultra,UOS,192,False,True,token
akt-akash-network,Akash Network,AKT,193,False,True,token
xdb-digitalbits,DigitalBits,XDB,194,False,True,token
nu-nucypher,NuCypher,NU,195,False,True,token
req-request-network,Request,REQ,196,False,True,token
med-medibloc-qrc20,MediBloc,MED,197,False,True,token
ksp-klayswap-protocol,KlaySwap Protocol,KSP,198,False,True,token
nmr-numeraire,Numeraire,NMR,199,False,True,token
orn-orion-protocol,Orion Protocol,ORN,201,False,True,token
albt-allianceblock,AllianceBlock,ALBT,201,False,True,token
skl-skale,SKALE,SKL,202,False,True,token
ava-travala,Travala.com,AVA,203,False,True,token
coti-coti,COTI,COTI,204,False,True,token
ark-ark,Ark,ARK,205,False,True,coin
sys-syscoin,Syscoin,SYS,206,False,True,coin
ach-alchemy-pay,Alchemy Pay,ACH,207,False,True,token
xyo-xyo-network,XYO,XYO,207,False,True,token
woo-wootrade,Wootrade,WOO,209,False,True,token
rpl-rocket-pool,Rocket Pool,RPL,210,False,True,token
bal-balancer,Balancer,BAL,211,False,True,token
dodo-dodo,DODO,DODO,212,False,True,token
nwc-newscryptoio,Newscrypto.io,NWC,213,False,True,token
utk-utrust,Utrust,UTK,214,False,True,token
wan-wanchain,Wanchain,WAN,215,False,True,coin
yfii-dfimoney,DFI.Money,YFII,216,False,True,token
sapp-sapphire,Sapphire,SAPP,217,False,True,coin
bora-bora,BORA,BORA,218,False,True,token
gusd-gemini-dollar,Gemini Dollar,GUSD,219,False,True,token
c20-crypto20,CRYPTO20,C20,220,False,True,token
jst-just,JUST,JST,221,False,True,token
zks-zkswap,ZKSwap,ZKS,222,False,True,token
mln-melon,Melon,MLN,223,False,True,token
badger-badger,Badger,BADGER,224,False,True,token
kin-kin,Kin,KIN,225,False,True,coin
strk-strike,Strike,STRK,226,False,True,token
solo-sologenic,Sologenic,SOLO,226,False,True,token
klv-klever,Klever,KLV,227,False,True,token
mvl-mass-vehicle-ledger,MVL,MVL,229,False,True,token
idex-idex,IDEX,IDEX,230,False,True,token
rif-rif-token,RIF Token,RIF,231,False,True,token
rndr-render-token,Render Token,RNDR,232,False,True,token
bts-bitshares,BitShares,BTS,233,False,True,coin
iq-everipedia,Everipedia,IQ,234,False,True,token
kmd-komodo,Komodo,KMD,235,False,True,coin
ramp-ramp,RAMP,RAMP,236,False,True,token
powr-power-ledger,Power Ledger,POWR,237,False,True,token
noia-syntropy,Syntropy,NOIA,238,False,True,token
meta-metadium,Metadium,META,239,False,True,coin
btcv-bitcoin-vault,Bitcoin Vault,BTCV,240,False,True,coin
hdac-hdac,Hdac,HDAC,241,False,True,coin
qkc-quarkchain,QuarkChain,QKC,242,False,True,token
ern-ethernity-chain,Ethernity Chain,ERN,243,False,True,token
xwc-whitecoin,WhiteCoin,XWC,244,False,True,coin
gala-gala,Gala,GALA,245,False,True,token
vra-verasity,Verasity,VRA,246,False,True,token
nusd-nusd,sUSD,SUSD,247,False,True,token
zb-zb,ZB,ZB,248,False,True,token
dka-dkargo,dKargo,DKA,249,False,True,token
pols-polkastarter,Polkastarter,POLS,251,False,True,token
pac-paccoin,PAC Protocol,PAC,251,False,True,coin
pha-phala-network,Phala Network,PHA,252,False,True,token
snl-sport-and-leisure,Sport and Leisure,SNL,253,False,True,token
seele-seele,Seele,SEELE,254,False,True,token
farm-harvest-finance,Harvest Finance,FARM,255,False,True,token
trac-origintrail,OriginTrail,TRAC,256,False,True,token
mft-hifi-finance,Hifi Finance,MFT,257,False,True,token
iris-irisnet,IRISnet,IRIS,258,False,True,coin
ampl-ampleforth,Ampleforth,AMPL,259,False,True,token
dero-dero,Dero,DERO,260,False,True,coin
data-streamr-datacoin,Streamr DATAcoin,DATA,261,False,True,token
wnxm-wrapped-nxm,Wrapped NXM,WNXM,262,False,True,token
wise-wise,WISE,WISE,263,False,True,token
hns-handshake,Handshake,HNS,264,False,True,coin
mx-mx-token,MX Token,MX,265,False,True,token
forth-ampleforth-governance-token,Ampleforth Governance Token,FORTH,266,False,True,token
hxro-hxro,Hxro,HXRO,267,False,True,token
loom-loom-network,Loom Network,LOOM,268,False,True,token
scrt-secret,Secret,SCRT,269,False,True,coin
frax-frax,Frax,FRAX,270,False,True,token
eum-elitium,ELITIUM,EUM,271,False,True,token
abbc-alibabacoin,ABBC Coin,ABBC,272,False,True,coin
btm-bytom,Bytom,BTM,273,False,True,coin
dnt-district0x,district0x,DNT,274,False,True,token
core-cvaultfinance,Cvault.finance,CORE,275,False,True,token
mof-molecular-future,Molecular Future,MOF,276,False,True,token
lit-litentry,Litentry,LIT,277,False,True,token
kda-kadena,Kadena,KDA,278,False,True,coin
gas-gas,Gas,GAS,279,False,True,token
peak-peakdefi,PEAKDEFI,PEAK,280,False,True,token
cvn-cvcoin,CVCoin,CVN,281,False,True,token
akro-akropolis,Akropolis,AKRO,282,False,True,token
banana-apeswap-finance,ApeSwap Finance,BANANA,283,False,True,token
cre-carry,Carry,CRE,284,False,True,token
rari-rarible,Rarible,RARI,285,False,True,token
blct-bloomzed-loyalty-club-ticket,Bloomzed Loyalty Club Ticket,BLCT,286,False,True,token
hnc-helleniccoin,Helleniccoin,HNC,288,False,True,coin
upp-sentinel-protocol,Sentinel Protocol,UPP,289,False,True,token
super-superfarm,SuperFarm,SUPER,290,False,True,token
whale-whale,WHALE,WHALE,290,False,True,token
swap-trustswap,TrustSwap,SWAP,291,False,True,token
mona-monacoin,MonaCoin,MONA,292,False,True,coin
aion-aion,Aion,AION,293,False,True,coin
tt-thunder-token,Thunder Token,TT,294,False,True,coin
divi-divi,Divi,DIVI,295,False,True,coin
bnana-banana-token,Chimpion,BNANA,296,False,True,token
paxg-pax-gold,PAX Gold,PAXG,297,False,True,token
bdx-beldex,Beldex,BDX,298,False,True,coin
xhv-haven-protocol,Haven Protocol,XHV,299,False,True,coin
trb-tellor,Tellor,TRB,300,False,True,token
nye-newyork-exchange,NewYork Exchange,NYE,301,False,True,coin
pnk-kleros,Kleros,PNK,302,False,True,token
eurs-stasis-eurs,STASIS EURO,EURS,303,False,True,token
rbtc-smart-bitcoin,RSK Smart Bitcoin,RBTC,304,False,True,coin
eps-ellipsis,Ellipsis,EPS,305,False,True,token
firo-firo,Firo,FIRO,306,False,True,coin
troy-troy,Troy,TROY,307,False,True,token
loc-locktrip,LockTrip,LOC,308,False,True,token
prq-parsiq,PARSIQ,PRQ,309,False,True,token
cgcx-cgcx,CGCX,CGCX,310,False,True,token
rdd-reddcoin,ReddCoin,RDD,311,False,True,coin
mrph-morpheusnetwork,Morpheus Network,MRPH,312,False,True,token
arpa-arpa-chain,ARPA Chain,ARPA,313,False,True,token
bzrx-bzx-protocol,bZx Protocol,BZRX,314,False,True,token
mxc-machine-xchange-coin,Machine Xchange Coin,MXC,315,False,True,token
lto-lto-network,LTO Network,LTO,316,False,True,token
xor-sora,Sora,XOR,317,False,True,token
ppt-populous,Populous,PPT,318,False,True,token
dia-dia,DIA,DIA,319,False,True,token
grs-groestlcoin,Groestlcoin,GRS,320,False,True,coin
quick-quickswap,Quickswap,QUICK,320,False,True,token
snm-sonm,SONM,SNM,322,False,True,token
blz-bluzelle,Bluzelle,BLZ,323,False,True,token
cru-crust,Crust,CRU,324,False,True,token
cos-contentos,Contentos,COS,325,False,True,token
hunt-hunt,HUNT,HUNT,326,False,True,token
hegic-hegic,HEGIC,HEGIC,327,False,True,token
ela-elastos,Elastos,ELA,328,False,True,coin
bifi-beefyfinance,Beefy.Finance,BIFI,329,False,True,token
aergo-aergo,Aergo,AERGO,330,False,True,token
vrsc-verus-coin,Verus Coin,VRSC,331,False,True,coin
palg-palgold,PalGold,PALG,332,False,True,token
fxs-frax-share,Frax Share,FXS,333,False,True,token
rfr-refereum,Refereum,RFR,334,False,True,token
fio-fio-protocol,FIO Protocol,FIO,335,False,True,coin
wtc-waltonchain,Waltonchain,WTC,336,False,True,coin
mbl-moviebloc,MovieBloc,MBL,337,False,True,token
om-mantra-dao,MANTRA DAO,OM,338,False,True,token
nft-apenft,APENFT,NFT,338,False,True,token
nrg-energi,Energi,NRG,340,False,True,coin
edo-eidoo,Eidoo,EDO,341,False,True,token
shr-sharetoken,ShareToken,SHR,342,False,True,token
gny-gny,GNY,GNY,343,False,True,token
ong-ong,Ontology Gas,ONG,344,False,True,token
dmch-darma-cash,Darma Cash,DMCH,345,False,True,coin
tvk-terra-virtua-kolect,Terra Virtua Kolect,TVK,346,False,True,token
vid-videocoin,VideoCoin,VID,346,False,True,token
stpt-stpt,STPT,STPT,347,False,True,token
aqt-alpha-quark-token,Alpha Quark Token,AQT,349,False,True,token
btse-btse-token,BTSE Token,BTSE,350,False,True,token
kp3r-keep3rv1,Keep3rV1,KP3R,351,False,True,token
adx-adex,AdEx,ADX,352,False,True,token
dock-dock,Dock,DOCK,353,False,True,token
strong-strong,Strong,STRONG,354,False,True,token
sfi-saffronfinance,saffron.finance,SFI,355,False,True,token
pre-presearch,Presearch,PRE,356,False,True,token
beam-beam,Beam,BEAM,357,False,True,coin
sbd-steem-dollars,Steem Dollars,SBD,358,False,True,coin
mtv-multivac,MultiVAC,MTV,360,False,True,token
qc-qcash,Qcash,QC,360,False,True,token
dusk-dusk-network,Dusk Network,DUSK,361,False,True,token
moc-mossland,Moss Coin,MOC,362,False,True,token
mbox-mobox,Mobox,MBOX,363,False,True,token
nrv-nerve-finance,Nerve Finance,NRV,364,False,True,token
stake-xdai-stake,xDAI Stake,STAKE,365,False,True,token
nuls-nuls,NULS,NULS,366,False,True,coin
dgd-digixdao,DigixDAO,DGD,367,False,True,token
bcn-bytecoin,Bytecoin,BCN,368,False,True,coin
burger-burger-swap,Burger Swap,BURGER,369,False,True,token
sero-super-zero,Super Zero,SERO,370,False,True,coin
mith-mithril,Mithril,MITH,371,False,True,token
ctxc-cortex,Cortex,CTXC,372,False,True,token
pivx-pivx,PIVX,PIVX,373,False,True,coin
auto-auto,Auto,AUTO,374,False,True,token
met-metronome,Metronome,MET,375,False,True,token
bscpad-bscpad,BSCPAD,BSCPAD,375,False,True,token
nxs-nexus,Nexus,NXS,377,False,True,coin
cdt-blox,Blox,CDT,378,False,True,token
torn-tornado-cash,Tornado Cash,TORN,379,False,True,token
rad-radicle,Radicle,RAD,380,False,True,token
rev-rchain,RChain,REV,381,False,True,coin
revv-revv,REVV,REVV,382,False,True,token
zel-zelcash,FLUX,FLUX,383,False,True,coin
